# UniProt_ID,P23560
# Target_name,BDNF_HUMAN Neurotrophic factor BDNF precursor form
# Molecules_screened,1687
# Generated_at,2025-08-21T21:37:39
#
Rank,Drug Name,Target Name,Binding Score
1,hexadrone,BDNF_HUMAN,45.63
2,epistane,BDNF_HUMAN,49.18
3,schizandrol-a,BDNF_HUMAN,56.02
4,boswellic acid,BDNF_HUMAN,63.84
5,dehydroepiandrosterone,BDNF_HUMAN,94.42
6,cyproheptadine hydrochloride,BDNF_HUMAN,109.33
7,beta-zeacarotene,BDNF_HUMAN,119.15
8,hydrastine,BDNF_HUMAN,124.67
9,stigmasterol,BDNF_HUMAN,125.07
10,egg yolk lecithin,BDNF_HUMAN,128.26
11,canthaxanthin,BDNF_HUMAN,147.35
12,cephaline,BDNF_HUMAN,149.79
13,bacosine,BDNF_HUMAN,150.34
14,galantamine hydrobromide,BDNF_HUMAN,158.64
15,berberine sulfate,BDNF_HUMAN,162.99
16,gamma carotene,BDNF_HUMAN,199.90
17,19-norandrostenediol,BDNF_HUMAN,202.32
18,calcium salt,BDNF_HUMAN,213.34
19,fgf,BDNF_HUMAN,216.31
20,tannic acid,BDNF_HUMAN,235.44
21,heather,BDNF_HUMAN,246.56
22,beta-sitosterol,BDNF_HUMAN,246.96
23,pac,BDNF_HUMAN,247.33
24,berberine hcl,BDNF_HUMAN,253.69
25,1-androsterone,BDNF_HUMAN,261.63
26,methylclostebol,BDNF_HUMAN,265.80
27,epo,BDNF_HUMAN,276.58
28,igd,BDNF_HUMAN,281.15
29,androstenedione,BDNF_HUMAN,291.73
30,dimethazine,BDNF_HUMAN,303.31
31,yk-11,BDNF_HUMAN,323.16
32,vincamine,BDNF_HUMAN,325.93
33,cycloastragenol,BDNF_HUMAN,326.92
34,mitoq,BDNF_HUMAN,327.23
35,cryptoxanthin,BDNF_HUMAN,334.73
36,alpha-carotene,BDNF_HUMAN,342.89
37,egc,BDNF_HUMAN,345.11
38,furazadrol,BDNF_HUMAN,351.35
39,chlorophyll,BDNF_HUMAN,353.25
40,hydroxycobalamin,BDNF_HUMAN,355.89
41,cocarboxylase,BDNF_HUMAN,363.95
42,campestrol,BDNF_HUMAN,365.25
43,carbomer,BDNF_HUMAN,376.39
44,cascaroside a,BDNF_HUMAN,377.21
45,pregnenolone,BDNF_HUMAN,389.04
46,parthenolide,BDNF_HUMAN,393.09
47,oleoresin,BDNF_HUMAN,394.11
48,ginkgolide a,BDNF_HUMAN,405.46
49,oleanic acid,BDNF_HUMAN,405.58
50,catechin,BDNF_HUMAN,414.81
51,thiamine pyrophosphate,BDNF_HUMAN,416.20
52,betulinic acid,BDNF_HUMAN,417.82
53,cannabinoids,BDNF_HUMAN,421.54
54,astaxanthin,BDNF_HUMAN,428.31
55,withanolides,BDNF_HUMAN,430.41
56,methyl b12,BDNF_HUMAN,437.42
57,momordicin,BDNF_HUMAN,444.21
58,cex,BDNF_HUMAN,445.55
59,heme iron,BDNF_HUMAN,447.42
60,thymol iodide,BDNF_HUMAN,456.60
61,procyanidol,BDNF_HUMAN,458.61
62,chebulic acid,BDNF_HUMAN,460.86
63,bel,BDNF_HUMAN,474.62
64,hematoporphyrin,BDNF_HUMAN,487.23
65,gugulipid,BDNF_HUMAN,528.18
66,3;5-diiodothyronine,BDNF_HUMAN,537.61
67,lgd 3303,BDNF_HUMAN,541.96
68,dong quai,BDNF_HUMAN,543.28
69,b12,BDNF_HUMAN,543.95
70,activin,BDNF_HUMAN,545.02
71,vitexin-2-rhamnoside,BDNF_HUMAN,545.94
72,vitamin d2,BDNF_HUMAN,580.19
73,vitamin b12,BDNF_HUMAN,581.89
74,capsanthin,BDNF_HUMAN,587.00
75,pgx,BDNF_HUMAN,591.02
76,daucosterol,BDNF_HUMAN,593.26
77,cardiolipin,BDNF_HUMAN,595.80
78,terpinen-4-ol,BDNF_HUMAN,607.93
79,glycolipids,BDNF_HUMAN,616.99
80,bay,BDNF_HUMAN,621.18
81,oxytocin,BDNF_HUMAN,633.13
82,d-delta-tocopherol,BDNF_HUMAN,635.59
83,cbda,BDNF_HUMAN,639.46
84,ruscogenins,BDNF_HUMAN,646.77
85,calendula,BDNF_HUMAN,649.20
86,cyanidin-3-rutinoside,BDNF_HUMAN,651.12
87,berberine sulfate hydrate,BDNF_HUMAN,654.43
88,dibencozide,BDNF_HUMAN,655.12
89,phosphatidylserine,BDNF_HUMAN,660.09
90,vitamin b-12,BDNF_HUMAN,662.97
91,triterpenes,BDNF_HUMAN,670.78
92,diosgenin,BDNF_HUMAN,674.24
93,7-alpha-methyl-estra-4-ene-3;17-dione,BDNF_HUMAN,675.51
94,lignan,BDNF_HUMAN,687.61
95,fucoxanthin,BDNF_HUMAN,690.54
96,vinburnine,BDNF_HUMAN,697.28
97,d-gamma-tocotrienol,BDNF_HUMAN,703.10
98,maslinic acid,BDNF_HUMAN,703.18
99,d-beta-tocopherol,BDNF_HUMAN,713.73
100,vitamin a,BDNF_HUMAN,721.87
101,9-hydroxy-alpha-naphthoflavone,BDNF_HUMAN,727.51
102,vat,BDNF_HUMAN,728.96
103,zingiberene,BDNF_HUMAN,730.87
104,11-hydroxy-yohimbine,BDNF_HUMAN,741.43
105,decursinol,BDNF_HUMAN,752.58
106,lgd,BDNF_HUMAN,771.62
107,18-hydroxyeicosapentaenoic acid,BDNF_HUMAN,772.14
108,lipstatin,BDNF_HUMAN,792.80
109,fucosterol,BDNF_HUMAN,798.40
110,d-alpha-tocopherol succinate,BDNF_HUMAN,841.09
111,19-nordehydroepiandrosterone,BDNF_HUMAN,844.62
112,cannabidiol,BDNF_HUMAN,845.82
113,theaflavins,BDNF_HUMAN,850.18
114,spectra,BDNF_HUMAN,868.32
115,chlorophyllin,BDNF_HUMAN,872.61
116,ginsenosides,BDNF_HUMAN,890.69
117,beta-carotene,BDNF_HUMAN,902.13
118,zinc tannate,BDNF_HUMAN,934.24
119,carotenoids,BDNF_HUMAN,939.81
120,chlorophyll a,BDNF_HUMAN,952.18
121,oxygold,BDNF_HUMAN,966.08
122,senna,BDNF_HUMAN,969.47
123,picroliv,BDNF_HUMAN,974.04
124,adenosylcobalamin,BDNF_HUMAN,980.95
125,max lmg,BDNF_HUMAN,985.55
126,riboflavin,BDNF_HUMAN,998.22
127,nucleosides,BDNF_HUMAN,1016.14
128,cardarine,BDNF_HUMAN,1021.13
129,campesterol,BDNF_HUMAN,1041.13
130,igm,BDNF_HUMAN,1056.46
131,vinpocetine,BDNF_HUMAN,1068.91
132,calcium magnesium phytate,BDNF_HUMAN,1074.11
133,dihydrocapsaicin,BDNF_HUMAN,1077.66
134,3;3'-diiodothyronine,BDNF_HUMAN,1079.58
135,agnuside,BDNF_HUMAN,1099.64
136,cholesterol,BDNF_HUMAN,1117.23
137,zeaxanthin,BDNF_HUMAN,1121.99
138,7;8-dihydroxyflavone,BDNF_HUMAN,1130.12
139,menaquinone,BDNF_HUMAN,1134.67
140,indian pink,BDNF_HUMAN,1147.31
141,corosolic acid,BDNF_HUMAN,1153.47
142,cbc,BDNF_HUMAN,1164.98
143,p73,BDNF_HUMAN,1165.52
144,dehydroabietic acid,BDNF_HUMAN,1169.79
145,mitragynine,BDNF_HUMAN,1170.57
146,thiamine disulfide,BDNF_HUMAN,1235.13
147,methylstenbolone,BDNF_HUMAN,1235.64
148,amino acids,BDNF_HUMAN,1238.60
149,guar,BDNF_HUMAN,1246.24
150,rad140,BDNF_HUMAN,1251.09
151,tianeptine sodium,BDNF_HUMAN,1280.02
152,s-23,BDNF_HUMAN,1282.81
153,decursin,BDNF_HUMAN,1297.53
154,resveratrol,BDNF_HUMAN,1313.72
155,lotus,BDNF_HUMAN,1314.17
156,tetrahydrocannabivarin,BDNF_HUMAN,1321.07
157,artemisinin,BDNF_HUMAN,1341.68
158,lutein zeaxanthin,BDNF_HUMAN,1351.64
159,cannabinol,BDNF_HUMAN,1356.09
160,vitexin,BDNF_HUMAN,1380.46
161,ursolic acid,BDNF_HUMAN,1380.87
162,vitamin e,BDNF_HUMAN,1393.93
163,methylcobalamin,BDNF_HUMAN,1409.52
164,seleno-di-glutathione,BDNF_HUMAN,1428.54
165,riboflavin 5'-phosphate sodium,BDNF_HUMAN,1432.14
166,zisu,BDNF_HUMAN,1448.86
167,baicalin,BDNF_HUMAN,1476.28
168,carnosol,BDNF_HUMAN,1481.25
169,proanthocyanidin,BDNF_HUMAN,1484.29
170,capsaicin,BDNF_HUMAN,1485.10
171,riboflavin hydrochloride,BDNF_HUMAN,1485.36
172,epsilon-viniferin,BDNF_HUMAN,1500.74
173,brassicasterol,BDNF_HUMAN,1501.89
