# UniProt_ID,P59533
# Target_name,T2R38_HUMAN Taste receptor type 2 member 38
# Molecules_screened,1687
# Generated_at,2025-08-21T21:35:03
#
Rank,Drug Name,Target Name,Binding Score
1,schizandrol-a,T2R38_HUMAN,16.70
2,beta-zeacarotene,T2R38_HUMAN,18.22
3,epistane,T2R38_HUMAN,20.57
4,hexadrone,T2R38_HUMAN,20.62
5,dehydroepiandrosterone,T2R38_HUMAN,30.99
6,boswellic acid,T2R38_HUMAN,31.87
7,thymol iodide,T2R38_HUMAN,36.76
8,berberine hcl,T2R38_HUMAN,39.91
9,berberine sulfate,T2R38_HUMAN,41.77
10,stigmasterol,T2R38_HUMAN,43.98
11,carbomer,T2R38_HUMAN,46.35
12,androstenedione,T2R38_HUMAN,49.89
13,hydrastine,T2R38_HUMAN,60.85
14,canthaxanthin,T2R38_HUMAN,61.33
15,decursinol,T2R38_HUMAN,62.77
16,egg yolk lecithin,T2R38_HUMAN,66.20
17,methylclostebol,T2R38_HUMAN,67.75
18,artemisinin,T2R38_HUMAN,71.01
19,phosphatidylserine,T2R38_HUMAN,72.32
20,cyproheptadine hydrochloride,T2R38_HUMAN,73.72
21,3;5-diiodothyronine,T2R38_HUMAN,75.26
22,chebulic acid,T2R38_HUMAN,79.00
23,bacosine,T2R38_HUMAN,81.03
24,cephaline,T2R38_HUMAN,93.15
25,calendula,T2R38_HUMAN,93.27
26,calcium salt,T2R38_HUMAN,97.50
27,vincamine,T2R38_HUMAN,97.92
28,gamma carotene,T2R38_HUMAN,98.02
29,galantamine hydrobromide,T2R38_HUMAN,98.28
30,pac,T2R38_HUMAN,101.79
31,spectra,T2R38_HUMAN,104.32
32,parthenolide,T2R38_HUMAN,112.89
33,ginkgolide a,T2R38_HUMAN,116.00
34,phosphatidyl glycerol,T2R38_HUMAN,117.53
35,pgx,T2R38_HUMAN,127.13
36,igd,T2R38_HUMAN,131.87
37,fgf,T2R38_HUMAN,136.82
38,tannic acid,T2R38_HUMAN,148.16
