# UniProt_ID,P30542
# Target_name,AA1R_HUMAN Adenosine receptor A1
# Molecules_screened,1687
# Generated_at,2025-08-21T21:44:09
#
Rank,Drug Name,Target Name,Binding Score
1,beta-zeacarotene,AA1R_HUMAN,16.79
2,hexadrone,AA1R_HUMAN,22.39
3,thymol iodide,AA1R_HUMAN,30.04
4,epistane,AA1R_HUMAN,31.71
5,berberine hcl,AA1R_HUMAN,38.73
6,calcium salt,AA1R_HUMAN,42.17
7,boswellic acid,AA1R_HUMAN,44.05
8,egg yolk lecithin,AA1R_HUMAN,45.94
9,dehydroepiandrosterone,AA1R_HUMAN,47.07
10,schizandrol-a,AA1R_HUMAN,47.30
11,hydrastine,AA1R_HUMAN,49.04
12,stigmasterol,AA1R_HUMAN,51.29
13,canthaxanthin,AA1R_HUMAN,59.05
14,berberine sulfate,AA1R_HUMAN,76.58
15,methylclostebol,AA1R_HUMAN,76.60
16,phosphatidyl glycerol,AA1R_HUMAN,79.58
17,bacosine,AA1R_HUMAN,81.12
18,androstenedione,AA1R_HUMAN,83.20
19,cephaline,AA1R_HUMAN,83.20
20,cyproheptadine hydrochloride,AA1R_HUMAN,87.86
21,gamma carotene,AA1R_HUMAN,89.19
22,decursinol,AA1R_HUMAN,94.26
23,galantamine hydrobromide,AA1R_HUMAN,103.18
24,carbomer,AA1R_HUMAN,111.79
25,phosphatidylserine,AA1R_HUMAN,119.97
26,artemisinin,AA1R_HUMAN,134.40
27,ginkgolide a,AA1R_HUMAN,136.43
28,cardarine,AA1R_HUMAN,149.63
29,vat,AA1R_HUMAN,153.29
30,chebulic acid,AA1R_HUMAN,158.78
31,3;5-diiodothyronine,AA1R_HUMAN,160.47
32,19-norandrostenediol,AA1R_HUMAN,162.97
33,heather,AA1R_HUMAN,164.92
34,procyanidol,AA1R_HUMAN,172.66
35,egc,AA1R_HUMAN,180.92
36,calendula,AA1R_HUMAN,183.27
37,cannabinol,AA1R_HUMAN,207.65
38,astaxanthin,AA1R_HUMAN,210.15
39,pac,AA1R_HUMAN,218.75
40,pgx,AA1R_HUMAN,223.90
41,fgf,AA1R_HUMAN,225.63
42,parthenolide,AA1R_HUMAN,226.05
43,igd,AA1R_HUMAN,226.74
44,cryptoxanthin,AA1R_HUMAN,234.11
45,yk-11,AA1R_HUMAN,242.38
46,spectra,AA1R_HUMAN,242.70
47,betulinic acid,AA1R_HUMAN,245.75
48,dimethazine,AA1R_HUMAN,245.94
49,1-androsterone,AA1R_HUMAN,246.64
50,vincamine,AA1R_HUMAN,258.45
51,catechin,AA1R_HUMAN,263.86
52,beta-sitosterol,AA1R_HUMAN,265.94
53,hydroxycobalamin,AA1R_HUMAN,267.95
54,alpha-carotene,AA1R_HUMAN,268.43
55,epo,AA1R_HUMAN,269.46
56,cocarboxylase,AA1R_HUMAN,270.04
57,thiamine pyrophosphate,AA1R_HUMAN,276.72
58,pregnenolone,AA1R_HUMAN,277.03
59,furazadrol,AA1R_HUMAN,277.48
